Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
11,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/11,"As a player, I want all the moves made to be recorded, allowing me to undo them and backtrack in the game.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:57:23,2023-05-10 17:13:45,,Sprint-2,,"Low,To Do,User-story",0,0
12,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/12,"As a player, I want to receive a congratulatory message and see my final score when I have completed all the levels.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:57:35,2023-05-10 17:13:45,,Sprint-2,,"Low,To Do,User-story",0,0
13,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/13,"As a player, I want to be able to close the application from the game menu.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:57:49,2023-05-10 17:13:45,,Sprint-2,,"Low,To Do,User-story",0,0
14,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/14,The system will have different levels and each one will increase the difficulty. Each one will have a different board,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:58:41,2023-05-10 17:14:32,,Sprint-2,,"Feature,Medium,To Do",0,0
15,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/15,"The board is divided in squares and will have this items in it: Wall, Red Car, Other vehicles and Parking Exit",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:58:57,2023-05-10 17:13:11,,Sprint-1,,"Feature,High,Open",0,0
16,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/16,Two or more consecuitve wall/vehicle will have the aspect of being only one. Both of them cannot be traversed,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:59:07,2023-05-10 17:13:11,,Sprint-1,,"Feature,High,Open",0,0
17,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/17,The level will be completed when the red car exit the parking.,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:59:17,2023-05-10 17:13:11,,Sprint-1,,"Feature,High,Open",0,0
18,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/18,All vehicles will move forwards or backwards but not laterally,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:59:27,2023-05-10 17:13:11,,Sprint-1,,"Feature,High,Open",0,0
19,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/19,Design several levels with its respective format. The system will be able to detect if the level is not in the correct format,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:00:02,2023-05-10 17:14:32,,Sprint-2,,"Feature,Medium,To Do",0,0
20,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/20,Design the punctuation level. This will be determined by the number of movements,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:00:22,2023-05-10 17:14:32,,Sprint-2,,"Feature,Medium,To Do",0,0
21,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/21,The app will show a message when the level is completed and will show the punctuation obtained,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:00:37,2023-05-10 17:13:17,,Sprint-2,,"Feature,Low,To Do",0,0
22,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/22,The app will display a HUD around the board that will provide some information to the user.,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:00:53,2023-05-10 17:13:17,,Sprint-2,,"Feature,Low,To Do",0,0
23,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/23,The system will allow the user to undo all the movements that has done,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:01:06,2023-05-10 17:13:17,,Sprint-2,,"Feature,Low,To Do",0,0
24,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/24,"The system will allow the user to save his progress in the level, so the user can restore the progress",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:01:18,2023-05-10 17:14:32,,Sprint-2,,"Feature,Medium,To Do",0,0
25,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/25,The application will have a game menu,Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 17:01:30,2023-05-10 17:14:04,,Sprint-1,,"Feature,High,Open",0,0
